Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[single cell quality]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[single cell identifier]
Sample 59	ERS2544911	SAMEA4724774	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 59	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 59	sequencing assay	ERX2648921	SIN2772A59-40336824_2.fastq.gz	SIN2772A59-40336824_2.fastq.gz	ERR2632427	ERR2632427	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632427/ERR2632427_2.fastq.gz	302	152	memory B cell	cell 59
Sample 60	ERS2544912	SAMEA4724775	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 60	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 60	sequencing assay	ERX2648922	SIN2772A60-40349328_1.fastq.gz	SIN2772A60-40349328_1.fastq.gz	ERR2632428	ERR2632428	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632428/ERR2632428_1.fastq.gz	302	152	memory B cell	cell 60
Sample 60	ERS2544912	SAMEA4724775	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 60	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 60	sequencing assay	ERX2648922	SIN2772A60-40349328_2.fastq.gz	SIN2772A60-40349328_2.fastq.gz	ERR2632428	ERR2632428	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632428/ERR2632428_2.fastq.gz	298	150	memory B cell	cell 60
Sample 82	ERS2544913	SAMEA4724776	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 82	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 82	sequencing assay	ERX2648923	SIN2772A82-40333861_1.fastq.gz	SIN2772A82-40333861_1.fastq.gz	ERR2632429	ERR2632429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632429/ERR2632429_1.fastq.gz	302	152	memory B cell	cell 82
Sample 82	ERS2544913	SAMEA4724776	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 82	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 82	sequencing assay	ERX2648923	SIN2772A82-40333861_2.fastq.gz	SIN2772A82-40333861_2.fastq.gz	ERR2632429	ERR2632429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632429/ERR2632429_2.fastq.gz	302	152	memory B cell	cell 82
Sample 83	ERS2544914	SAMEA4724777	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 83	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 83	sequencing assay	ERX2648924	SIN2772A83-40341376_1.fastq.gz	SIN2772A83-40341376_1.fastq.gz	ERR2632430	ERR2632430	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632430/ERR2632430_1.fastq.gz	302	152	memory B cell	cell 83
Sample 83	ERS2544914	SAMEA4724777	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 83	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 83	sequencing assay	ERX2648924	SIN2772A83-40341376_2.fastq.gz	SIN2772A83-40341376_2.fastq.gz	ERR2632430	ERR2632430	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632430/ERR2632430_2.fastq.gz	302	152	memory B cell	cell 83
Sample 84	ERS2544915	SAMEA4724778	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 84	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 84	sequencing assay	ERX2648925	SIN2772A84-40344370_1.fastq.gz	SIN2772A84-40344370_1.fastq.gz	ERR2632431	ERR2632431	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632431/ERR2632431_1.fastq.gz	302	152	memory B cell	cell 84
Sample 84	ERS2544915	SAMEA4724778	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 84	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 84	sequencing assay	ERX2648925	SIN2772A84-40344370_2.fastq.gz	SIN2772A84-40344370_2.fastq.gz	ERR2632431	ERR2632431	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632431/ERR2632431_2.fastq.gz	300	151	memory B cell	cell 84
Sample 85	ERS2544916	SAMEA4724779	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 85	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 85	sequencing assay	ERX2648926	SIN2772A85-40332861_1.fastq.gz	SIN2772A85-40332861_1.fastq.gz	ERR2632432	ERR2632432	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632432/ERR2632432_1.fastq.gz	302	152	memory B cell	cell 85
Sample 85	ERS2544916	SAMEA4724779	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 85	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 85	sequencing assay	ERX2648926	SIN2772A85-40332861_2.fastq.gz	SIN2772A85-40332861_2.fastq.gz	ERR2632432	ERR2632432	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632432/ERR2632432_2.fastq.gz	302	152	memory B cell	cell 85
Sample 86	ERS2544917	SAMEA4724780	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 86	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 86	sequencing assay	ERX2648927	SIN2772A86-40344373_1.fastq.gz	SIN2772A86-40344373_1.fastq.gz	ERR2632433	ERR2632433	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632433/ERR2632433_1.fastq.gz	300	151	memory B cell	cell 86
Sample 86	ERS2544917	SAMEA4724780	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 86	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 86	sequencing assay	ERX2648927	SIN2772A86-40344373_2.fastq.gz	SIN2772A86-40344373_2.fastq.gz	ERR2632433	ERR2632433	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632433/ERR2632433_2.fastq.gz	302	152	memory B cell	cell 86
Sample 87	ERS2544918	SAMEA4724781	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 87	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 87	sequencing assay	ERX2648928	SIN2772A87-40332863_1.fastq.gz	SIN2772A87-40332863_1.fastq.gz	ERR2632434	ERR2632434	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632434/ERR2632434_1.fastq.gz	302	152	memory B cell	cell 87
Sample 87	ERS2544918	SAMEA4724781	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 87	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 87	sequencing assay	ERX2648928	SIN2772A87-40332863_2.fastq.gz	SIN2772A87-40332863_2.fastq.gz	ERR2632434	ERR2632434	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632434/ERR2632434_2.fastq.gz	302	152	memory B cell	cell 87
Sample 88	ERS2544919	SAMEA4724782	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 88	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 88	sequencing assay	ERX2648929	SIN2772A88-40352333_1.fastq.gz	SIN2772A88-40352333_1.fastq.gz	ERR2632435	ERR2632435	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632435/ERR2632435_1.fastq.gz	300	151	memory B cell	cell 88
Sample 88	ERS2544919	SAMEA4724782	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 88	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 88	sequencing assay	ERX2648929	SIN2772A88-40352333_2.fastq.gz	SIN2772A88-40352333_2.fastq.gz	ERR2632435	ERR2632435	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632435/ERR2632435_2.fastq.gz	298	150	memory B cell	cell 88
Sample 89	ERS2544920	SAMEA4724783	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 89	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 89	sequencing assay	ERX2648930	SIN2772A89-40353334_1.fastq.gz	SIN2772A89-40353334_1.fastq.gz	ERR2632436	ERR2632436	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632436/ERR2632436_1.fastq.gz	300	151	memory B cell	cell 89
Sample 89	ERS2544920	SAMEA4724783	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 89	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 89	sequencing assay	ERX2648930	SIN2772A89-40353334_2.fastq.gz	SIN2772A89-40353334_2.fastq.gz	ERR2632436	ERR2632436	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632436/ERR2632436_2.fastq.gz	302	152	memory B cell	cell 89
Sample 90	ERS2544921	SAMEA4724784	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 90	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 90	sequencing assay	ERX2648931	SIN2772A90-40354329_1.fastq.gz	SIN2772A90-40354329_1.fastq.gz	ERR2632437	ERR2632437	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632437/ERR2632437_1.fastq.gz	302	152	memory B cell	cell 90
Sample 90	ERS2544921	SAMEA4724784	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 90	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 90	sequencing assay	ERX2648931	SIN2772A90-40354329_2.fastq.gz	SIN2772A90-40354329_2.fastq.gz	ERR2632437	ERR2632437	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632437/ERR2632437_2.fastq.gz	302	152	memory B cell	cell 90
Sample 91	ERS2544922	SAMEA4724785	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 91	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 91	sequencing assay	ERX2648932	SIN2772A91-40344378_1.fastq.gz	SIN2772A91-40344378_1.fastq.gz	ERR2632438	ERR2632438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632438/ERR2632438_1.fastq.gz	302	152	memory B cell	cell 91
Sample 91	ERS2544922	SAMEA4724785	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 91	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 91	sequencing assay	ERX2648932	SIN2772A91-40344378_2.fastq.gz	SIN2772A91-40344378_2.fastq.gz	ERR2632438	ERR2632438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632438/ERR2632438_2.fastq.gz	302	152	memory B cell	cell 91
Sample 92	ERS2544923	SAMEA4724786	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 92	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 92	sequencing assay	ERX2648933	SIN2772A92-40350332_1.fastq.gz	SIN2772A92-40350332_1.fastq.gz	ERR2632439	ERR2632439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632439/ERR2632439_1.fastq.gz	302	152	memory B cell	cell 92
Sample 92	ERS2544923	SAMEA4724786	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 92	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 92	sequencing assay	ERX2648933	SIN2772A92-40350332_2.fastq.gz	SIN2772A92-40350332_2.fastq.gz	ERR2632439	ERR2632439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632439/ERR2632439_2.fastq.gz	300	151	memory B cell	cell 92
Sample 93	ERS2544924	SAMEA4724787	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 93	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 93	sequencing assay	ERX2648934	SIN2772A93-40355315_1.fastq.gz	SIN2772A93-40355315_1.fastq.gz	ERR2632440	ERR2632440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632440/ERR2632440_1.fastq.gz	302	152	memory B cell	cell 93
Sample 93	ERS2544924	SAMEA4724787	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 93	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 93	sequencing assay	ERX2648934	SIN2772A93-40355315_2.fastq.gz	SIN2772A93-40355315_2.fastq.gz	ERR2632440	ERR2632440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632440/ERR2632440_2.fastq.gz	302	152	memory B cell	cell 93
Sample 1	ERS2544925	SAMEA4724788	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 1	sequencing assay	ERX2648935	SIN2772A1-40344383_1.fastq.gz	SIN2772A1-40344383_1.fastq.gz	ERR2632441	ERR2632441	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632441/ERR2632441_1.fastq.gz	146	74	naive B cell	cell 1
Sample 1	ERS2544925	SAMEA4724788	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 1	sequencing assay	ERX2648935	SIN2772A1-40344383_2.fastq.gz	SIN2772A1-40344383_2.fastq.gz	ERR2632441	ERR2632441	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632441/ERR2632441_2.fastq.gz	146	74	naive B cell	cell 1
Sample 10	ERS2544926	SAMEA4724789	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 10	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 10	sequencing assay	ERX2648936	SIN2772A10-40352350_1.fastq.gz	SIN2772A10-40352350_1.fastq.gz	ERR2632442	ERR2632442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632442/ERR2632442_1.fastq.gz	272	137	naive B cell	cell 10
Sample 10	ERS2544926	SAMEA4724789	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 10	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 10	sequencing assay	ERX2648936	SIN2772A10-40352350_2.fastq.gz	SIN2772A10-40352350_2.fastq.gz	ERR2632442	ERR2632442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632442/ERR2632442_2.fastq.gz	272	137	naive B cell	cell 10
Sample 11	ERS2544927	SAMEA4724790	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 11	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 11	sequencing assay	ERX2648937	SIN2772A11-40338757_1.fastq.gz	SIN2772A11-40338757_1.fastq.gz	ERR2632443	ERR2632443	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632443/ERR2632443_1.fastq.gz	302	152	naive B cell	cell 11
Sample 11	ERS2544927	SAMEA4724790	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 11	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 11	sequencing assay	ERX2648937	SIN2772A11-40338757_2.fastq.gz	SIN2772A11-40338757_2.fastq.gz	ERR2632443	ERR2632443	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632443/ERR2632443_2.fastq.gz	300	151	naive B cell	cell 11
Sample 12	ERS2544928	SAMEA4724791	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 12	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 12	sequencing assay	ERX2648938	SIN2772A12-40341397_1.fastq.gz	SIN2772A12-40341397_1.fastq.gz	ERR2632444	ERR2632444	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632444/ERR2632444_1.fastq.gz	78	40	naive B cell	cell 12
Sample 12	ERS2544928	SAMEA4724791	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 12	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 12	sequencing assay	ERX2648938	SIN2772A12-40341397_2.fastq.gz	SIN2772A12-40341397_2.fastq.gz	ERR2632444	ERR2632444	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632444/ERR2632444_2.fastq.gz	78	40	naive B cell	cell 12
